,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16653,181227,1600,48.0135,5.0,14.078
16654,181227,1700,48.3385,5.0,13.7229
16655,181227,1800,46.2617,5.0,14.7929
16656,181227,1900,56.3024,5.0,12.8554
16657,181227,2000,63.4291,5.0,10.5654
16658,181227,2100,62.3333,5.0,10.1837
16659,181227,2200,61.8082,5.0,10.1671
16660,181227,2300,61.8847,5.0,10.0403
16661,181228,0,64.9119,6.0,9.5695
16662,181228,100,66.4558,6.0,9.11949
16663,181228,200,67.8998,6.0,8.98363
16664,181228,300,70.4598,6.0,8.73862
16665,181228,400,67.7889,6.0,9.0486
16666,181228,500,69.0004,6.0,8.68193
16667,181228,600,66.6127,6.0,9.2494
16668,181228,700,58.1657,6.0,10.9769
16669,181228,800,59.8236,6.0,11.1026
16670,181228,900,51.5309,6.0,12.8841
16671,181228,1000,49.8021,6.0,13.3524
16672,181228,1100,51.0234,6.0,13.5182
16673,181228,1200,46.6631,6.0,14.5823
16674,181228,1300,48.998,6.0,14.5431
16675,181228,1400,54.2655,6.0,14.0997
16676,181228,1500,53.8137,6.0,13.9247
16677,181228,1600,47.1715,6.0,14.5446
16678,181228,1700,43.0781,6.0,15.2436
16679,181228,1800,48.5046,6.0,14.1153
16680,181228,1900,54.3629,6.0,12.867
16681,181228,2000,67.2815,6.0,11.0378
16682,181228,2100,67.2155,6.0,10.762
16683,181228,2200,69.7928,6.0,10.4195
16684,181228,2300,66.9453,6.0,10.5252
16685,181229,0,62.2417,10.0,10.9085
16686,181229,100,64.8634,10.0,10.5477
16687,181229,200,65.4674,10.0,10.2569
16688,181229,300,69.4523,10.0,9.78851
16689,181229,400,77.1301,10.0,9.15637
16690,181229,500,81.7859,10.0,8.1722
16691,181229,600,81.1123,10.0,7.41467
16692,181229,700,81.069,10.0,7.03532
16693,181229,800,76.7269,10.0,7.52165
16694,181229,900,67.0275,10.0,7.96454
16695,181229,1000,66.963,10.0,7.24236
16696,181229,1100,65.558,10.0,8.24562
16697,181229,1200,63.8814,10.0,8.54369
16698,181229,1300,74.6035,10.0,7.47684
16699,181229,1400,73.9084,10.0,7.69974
16700,181229,1500,70.2107,10.0,8.40097
16701,181229,1600,68.2957,10.0,8.57196
16702,181229,1700,65.9414,10.0,8.91444
